,Commit message,Class
31,extract method pngpdftransformerhelper e iniciando uma fluent interfacezinha para geracao de modulos,extract
32,avoid code duplication extract method,extract
33,avoid code duplication extract method,extract
34,extract error handle method,extract
35,extract method buildqueryuri future queryexecutor implementation get uri object eventually change turn string,extract
36,extract configurehttpparams method override application,extract
37,contentextractortestbase javacreaterecorder string string new method create test recorder specify charsetcreaterecorder string deprecate use default charset,extract
38,tighten javascript extraction base real world analysis address uriutils javanew method isverylikelyuri tight heuristic islikelyuri extractorjs javause uriutils isverylikelyuri change order operation fixup call isverylikelyuri since expect string javascript escape stuff stringextractortestbase javahandle test data expect value null mean outlinks expect extractorhtmltest javaavoid redundancy use extractor create contentextractortestbase setup extractorjstest javasome new test,extract
39,simplify jnlpprotocolhandlertest similar simplification networklayertest e c af test also hit sporadic hang failure primarily certain os etc mostly occur preclose also similar test part solution eliminate repetition exact test part understand clean test also make major effort remove duplication improve name clarity individual test method lengthy lot duplicate code make hard understand indeed test actually match name intention extract commonality try make clear variation test test continue test old version jnlp protocol todos mark remove test deprecate long time implementation quite behave properly particularly come close cause contamination test currently support protocol oracle deprecate jnlp entirely time remove protocol test,extract
40,extract method clean code,extract
41,refactor extract write send method,extract
42,refactor extract writenumberarray method,extract
43,refactor extract method objtojsonobject objtojsonarray,extract
44,refactor extract create parser method,extract
45,refactor extract unwrap method,extract
46,refactor extract common method,extract
47,hv extract two method,extract
48,minor refactoring shorten method newfolderwindow extract button creation code prevent null pointer mode specify default mode normal,extract
49,refactor main run extract method,extract
50,ismavatar commit alpha updated customfilefilter handle file without extension use loopfixed indexbuttongroup setvalue non cumulative value change maptable array stable non variable size updated soundframe load save button load save sound data untested layout gui etc merge filename label value addgap method add maybe extract resourceframe append space message property soundframe file valueupdated lgm display work filename update listener remove listener debugger code jfilechooser default folder add quadduc credit lgm upgraded marko hole jerk git svn id http lateralgm svn sourceforge net svnroot lateralgm f f bc e cd,extract
51,resourcemenu open mouse position component correctly size still work progressgmobjectframe parent mask use resourcemenu fix size little still work progresslistener actionperformed shortened little make stringtores method consider extract another class actionperformed need shorteninggit svn id http lateralgm svn sourceforge net svnroot lateralgm f f bc e cd,extract
52,cod popup menu resnode listener extract method listener actionperformed delegation need revision mouse handle add insertresource method copyresource still need coded correct credit readmeadded javadocs resnode status resnode kind get confuse lot even though coin termstemporary tile paint roomeditor use transparency cache need replace tilecomponent git svn id http lateralgm svn sourceforge net svnroot lateralgm f f bc e cd,extract
53,implement shift lock clean last commitsremoved comment updateinstance code refer r r neededextracted different mouse part methodsremoved extra repaint call mouseeditremoved wip text object tabdowngraded cursorinstance instancecomponent cursoricswapped id object roomframe status bar opposite gm logical wayremoved edit mode editinstancesobject editinstancesdeleteunderlying hard keep date use swing directlyadded fixme tag object tab probably take git svn id http lateralgm svn sourceforge net svnroot lateralgm f f bc e cd,extract
54,fix readsettings method length within checkstyle limit extract readsettingsincludes methodgit svn id http lateralgm svn sourceforge net svnroot lateralgm lateralgm branch versioning f f bc e cd,extract
55,extract file handle method listener new filechooser class modularized reader add support plug fileview module next revision modularize writer translator might wish wait update string git svn id http lateralgm svn sourceforge net svnroot lateralgm lateralgm trunk f f bc e cd,extract
56,extract jump method useful force jump platformerentity forexample response collision enemy,extract
57,extract writeobject method writeextras,extract
58,fix support truststore multi pems extract method read certificate bag use indirectorytrustanchorstore,extract
59,extract add move function private method,extract
60,extract static assertxyz method null safe unknown type safe check,extract
61,remove duplicate code extract method parse event line e,extract
62,refactoring extract method easy subclass thetopleveltransaction disable persistence data,extract
63,refactor extract part generateroleslotmethodsmultstar allow subclass code generator wrap multiple generate method without replicate code original code generator super class method also generate interface declare dml file base class,extract
64,bplustree extract innernode constructor init method allows constructor code reuse subclass also extract lastkey representation tostring,extract
65,extract kahn algorithm compute method,extract
66,extract internal method timelinevalue class test,extract
67,extract connectionlistener creation separate method pool,extract
68,fix reduce result index size base store filename dfilename display index lowercase variant store original one do filename path well remove dpath dfilename field little refactoring extract method toget good overview less long method git svn id http svn serverix supose trunk f b ba ce b,extract
69,extract common builder streammappingmethods iterablemappingmethod,extract
70,polish pr merge extract common typemirror extraction separate method remove need code test,extract
71,extract two method handlestate reduce method size,extract
72,extract readbinding method publicly reusedfixes,extract
73,clean code extract method,extract
74,extract method waitforexit git svn id http scm ops j org repos ops j project pax runner b c ae bc bd,extract
75,extract method,extract
76,extract oidc userinfo token request construction extensible method,extract
77,refactor testindirectbasicauthclientthere several test similar structure code extract helper method make intent code clear andavoid repetition,extract
78,extract method per pull request comment,extract
79,ca port change cas pac j project saml clientconfiguration make non final allow forsub class new init method introduce nothing insaml clientconfiguration overridden sub class saml client call new init method configuration piece code client extract separate method itallows reuse sub class client,extract
80,support european e identification merge master bootstrapping signature sign configuration none define support configure providername authnrequest extension guard null pointer exception authcontext define authncontextclassref mandatory add support set saml attribute principal id extract code block reduce internalinit method size,extract
81,ngrinder simplify impl delete unncessary code extractmethods,extract
82,extract method,extract
83,extract helper method separate class refactored towards compose method,extract
84,extract common g gap assertion code something readable processor method,extract
85,extract clause method add javadoc commentsthe extract method clearly describe useequinox extendedlogservice provide name loggerswhich log message class base granularity instead bundle base like standard osgi logservice additionally extendedlogservice include use defaultin eclipse since version http bug eclipse org bug show bug cgi id,extract
86,advance method extract run method,extract
87,balajin refactoring treatmentcardservice extract method,extract
88,extract method,extract
89,extract method find next downstream traffic light,extract
90,extract method parse comment content,extract
91,extract method abstractpipe path need override getpathtohere pacer plus clean method bit think,extract
92,extract method determines metric value,extract
93,extract logic method defaultcomparator improve readability,extract
94,slightly untested extraction method compute effective tweet length,extract
95,refactored extract writepottofile writepotofile method,extract
96,extract interpolation method,extract
97,extract method,extract
98,extract abstract method javacsingularizer generateclearstatements,extract
99,extract method finishandinjectmethod,extract
100,rearrange file relate method extract little endian method gmstreamencoder streamencoder choose gsdecoder due obfuscation table maybe add gm support revise model gse extend se hold resource specific method move low level method gmfilewriter gse likewise gmfilereader gsdecoder improve read readd use byte array rather individual read git svn id http lateralgm svn sourceforge net svnroot lateralgm f f bc e cd,extract
101,make extractor interrogate charset replaycharsequence genericreplaycharsequenceuse charset instance rather string name recorderuse charset instance ratehr string name getcontentreplaycharsequence avoid reuse cached replaycharsequence encode use change since create getcontentreplayprefixstring allow request specific charset interpretation extractorhtml extractorxmlwork charset instancesdouble check content declaration self consistent usingrecycle matcher instanceschange minor charset problem decision crawl log annotation,extract
102,make extractor interrogate charset fetchhttpuse charset instance rather string name,extract
103,extractormultipleregex javarefactor readability,extract
104,extractorjs javarefactor considerstrings static allow overridden subclass extractorhtml java extractorjs javaadd autowired parameter extractorjs use process inline javascript instead call static extractorjs considerstrings,extract
105,extract urls look like youtube watch page,extract
106,implement itagpriority extractlimit parameter,extract
107,extract setting object,extract
108,extract class,extract
109,code extract,extract
110,extract base class move test class,extract
111,jni libs extract wsn device driver folder user home,extract
112,extract httpservletrequest usage createurldata reduce scope ofmutability allow future cache urldatas,extract
113,autocomletion start start extract new class globalenvironment,extract
114,extract wsdl soap functionality external library generic soap client need compilation,extract
115,simplify moh builder code use emrreportingutils addrow add column base dimension also extract pwp indicator pwpindicatorlibrary,extract
116,begin work extract jsonpath,extract
117,possible map java object extract list jsonpath,extract
118,refactor extract authorization service interace,extract
119,hv handle value unwrap via valueextractor replace value handler javafx optional valueextractor implementation support implicit unwrapping time,extract
120,hv add support non parameterized type value extraction,extract
121,hv enable cdi value extractor add via serviceloader,extract
122,hv fix value extraction resolution logic force implicitunwrapping,extract
123,extract statusupdateservice timelineservice,extract
124,mongo mapreduce handle collection name extraction getcollection function,extract
125,cod mdi functionality lot gui code gmltextarea lead space convert tabs tab width set initialisation add gettextcompat convert newlines tabs back resave see prefs tabwidth see util convertindents string gmmenu extract gmmenubar allow subclassinggmmenubar add window menugmtreegraphics background node show correctly treemdimanager implement resizedesktop mdimenu window menu update frames add remove offer common command subclasses gmmenumdipane modify call resizedesktop certain case add function close etc vtexticon fix generic warninglgm mdi instance mdipane modify createtree add jtogglebutton eventframe reorder gui initialisation code work extra toolbar button overload makebutton kind abstractbuttonresource modified argument copy two version modify subclass use new argument resourceframe add javadoc comment field clarify purpose modify resourcechanged subclass compare resoriginalscriptframe modify use gmltextarea gettextcompat eventframe add support toggle buttoncheckstyle xml todo comment ignore eclipse already good functionality thatabstractbitmap remove fixme commentgit svn id http lateralgm svn sourceforge net svnroot lateralgm f f bc e cd,extract
126,cod mdi functionality lot gui code gmltextarea lead space convert tabs tab width set initialisation add gettextcompat convert newlines tabs back resave see prefs tabwidth see util convertindents string gmmenu extract gmmenubar allow subclassinggmmenubar add window menugmtreegraphics background node show correctly treemdimanager implement resizedesktop mdimenu window menu update frames add remove offer common command subclasses gmmenumdipane modify call resizedesktop certain case add function close etc vtexticon fix generic warninglgm mdi instance mdipane modify createtree add jtogglebutton eventframe reorder gui initialisation code work extra toolbar button overload makebutton kind abstractbuttonresource modified argument copy two version modify subclass use new argument resourceframe add javadoc comment field clarify purpose modify resourcechanged subclass compare resoriginalscriptframe modify use gmltextarea gettextcompat eventframe add support toggle buttoncheckstyle xml todo comment ignore eclipse already good functionality thatabstractbitmap remove fixme commentgit svn id http lateralgm svn sourceforge net svnroot lateralgm f f bc e cd,extract
127,cod mdi functionality lot gui code gmltextarea lead space convert tabs tab width set initialisation add gettextcompat convert newlines tabs back resave see prefs tabwidth see util convertindents string gmmenu extract gmmenubar allow subclassinggmmenubar add window menugmtreegraphics background node show correctly treemdimanager implement resizedesktop mdimenu window menu update frames add remove offer common command subclasses gmmenumdipane modify call resizedesktop certain case add function close etc vtexticon fix generic warninglgm mdi instance mdipane modify createtree add jtogglebutton eventframe reorder gui initialisation code work extra toolbar button overload makebutton kind abstractbuttonresource modified argument copy two version modify subclass use new argument resourceframe add javadoc comment field clarify purpose modify resourcechanged subclass compare resoriginalscriptframe modify use gmltextarea gettextcompat eventframe add support toggle buttoncheckstyle xml todo comment ignore eclipse already good functionality thatabstractbitmap remove fixme commentgit svn id http lateralgm svn sourceforge net svnroot lateralgm f f bc e cd,extract
128,cod mdi functionality lot gui code gmltextarea lead space convert tabs tab width set initialisation add gettextcompat convert newlines tabs back resave see prefs tabwidth see util convertindents string gmmenu extract gmmenubar allow subclassinggmmenubar add window menugmtreegraphics background node show correctly treemdimanager implement resizedesktop mdimenu window menu update frames add remove offer common command subclasses gmmenumdipane modify call resizedesktop certain case add function close etc vtexticon fix generic warninglgm mdi instance mdipane modify createtree add jtogglebutton eventframe reorder gui initialisation code work extra toolbar button overload makebutton kind abstractbuttonresource modified argument copy two version modify subclass use new argument resourceframe add javadoc comment field clarify purpose modify resourcechanged subclass compare resoriginalscriptframe modify use gmltextarea gettextcompat eventframe add support toggle buttoncheckstyle xml todo comment ignore eclipse already good functionality thatabstractbitmap remove fixme commentgit svn id http lateralgm svn sourceforge net svnroot lateralgm f f bc e cd,extract
129,cod mdi functionality lot gui code gmltextarea lead space convert tabs tab width set initialisation add gettextcompat convert newlines tabs back resave see prefs tabwidth see util convertindents string gmmenu extract gmmenubar allow subclassinggmmenubar add window menugmtreegraphics background node show correctly treemdimanager implement resizedesktop mdimenu window menu update frames add remove offer common command subclasses gmmenumdipane modify call resizedesktop certain case add function close etc vtexticon fix generic warninglgm mdi instance mdipane modify createtree add jtogglebutton eventframe reorder gui initialisation code work extra toolbar button overload makebutton kind abstractbuttonresource modified argument copy two version modify subclass use new argument resourceframe add javadoc comment field clarify purpose modify resourcechanged subclass compare resoriginalscriptframe modify use gmltextarea gettextcompat eventframe add support toggle buttoncheckstyle xml todo comment ignore eclipse already good functionality thatabstractbitmap remove fixme commentgit svn id http lateralgm svn sourceforge net svnroot lateralgm f f bc e cd,extract
130,fix layout gmobjectframe timelineframe use grouplayout manager extract actionlist related code separate class see also r r git svn id http lateralgm svn sourceforge net svnroot lateralgm f f bc e cd,extract
131,fix layout gmobjectframe timelineframe use grouplayout manager extract actionlist related code separate class see also r r git svn id http lateralgm svn sourceforge net svnroot lateralgm f f bc e cd,extract
132,small refactoring extract scope handling,extract
133,many refactorings always use dyn getprop scope resolution extract hasownproperty helper remove dynjs scope proprietary call,extract
134,many refactorings always use dyn getprop scope resolution extract hasownproperty helper remove dynjs scope proprietary call,extract
135,extract class naming generator,extract
136,extract getvalue,extract
137,extract filechecker,extract
138,finally added ability project new document lsa lsi documentspace lot lot minor fixes adjustment make workand debuggable modify src main java edu ucla sspace basis basismapping java fix javadoc typomodified src main java edu ucla sspace common generictermdocumentvectorspace java speed token counting counter classmodified src main java edu ucla sspace common similarity java add new version spearman rho account tie report inthe nonparametric statistic handbook however new version seemto agree exist result despite match example book modify src main java edu ucla sspace common statistic java add support get mode sequencemodified src main java edu ucla sspace graph abstractgraph java add support pre allocate number vertex edge graphto avoid rehash large graphsmodified src main java edu ucla sspace graph chinesewhispersclustering java fix bug probably push primitive shuffle primitivecollectionsnew file src main java edu ucla sspace graph compactsparsetypededgeset java alternate implementation edge set vertex pivot instead oftype pivoted sure expose configurable paramater yet modify src main java edu ucla sspace graph sparsetypededgeset java rework type pivotedmodified src main java edu ucla sspace graph sparseundirectededgeset java add support preallocating space new edgesmodified src main java edu ucla sspace graph sparseundirectedgraph java add support preallocating space base expect size graphnew file src main java edu ucla sspace graph io pajekwriter java add minimal support write pajek formatmodified src main java edu ucla sspace lsa latentsemanticanalysis java lot fun tweak support new document projection tighten class constructor allow svd dimensionality reduction since lsa proper modify src main java edu ucla sspace main lsamain java rework use new singularvaluedecomposition interfacemodified src main java edu ucla sspace main plsamain java note code broken probably need new middleabstract class generictermdocumentspace lsa plsamodified src main java edu ucla sspace matrix abstractmatrix java add useful tostring fix equal break still unexplained reason modify src main java edu ucla sspace matrix arraymatrix javamodified src main java edu ucla sspace matrix diagonalmatrix javamodified src main java edu ucla sspace matrix growingsparsematrix javamodified src main java edu ucla sspace matrix rowmaskedmatrix javamodified src main java edu ucla sspace matrix transposedmatrix java extend abstractmatrixmodified src main java edu ucla sspace matrix basetransform javamodified src main java edu ucla sspace matrix correlationtransform javamodified src main java edu ucla sspace matrix globaltransform javamodified src main java edu ucla sspace matrix logentropytransform javamodified src main java edu ucla sspace matrix loglikelihoodtransform javamodified src main java edu ucla sspace matrix pointwisemutualinformationtransform javamodified src main java edu ucla sspace matrix rowmagnitudetransform javamodified src main java edu ucla sspace matrix tfidfdocstripedtransform javamodified src main java edu ucla sspace matrix tfidftransform javamodified src main java edu ucla sspace matrix transform java support apply transform new document column vector thatweren original datamodified src main java edu ucla sspace matrix notransform java properly support globaltransform use lsamodified src main java edu ucla sspace matrix matrix java good error messagemodified src main java edu ucla sspace matrix svd java update use new singularvaluedecomposition interfacesmodified src main java edu ucla sspace matrix factorization abstractsvd javanew file src main java edu ucla sspace matrix factorization singularvaluedecomposition javamodified src main java edu ucla sspace matrix factorization singularvaluedecompositionlibc javamodified src main java edu ucla sspace matrix factorization singularvaluedecompositionlibj javamodified src main java edu ucla sspace matrix factorization singularvaluedecompositionmatlab javamodified src main java edu ucla sspace matrix factorization singularvaluedecompositionoctave java add new interface svd support return u vdecomposed matrix premultiplied formmodified src main java edu ucla sspace text worditerator java remove private protection current line subclass could inspect itmodified src main java edu ucla sspace tool iterativebigramextractor java fix typo command line optionsmodified src main java edu ucla sspace util krippendorffsalpha java add support compute alpha use interval level measuremntmodified src main java edu ucla sspace util objectcounter java fix bug min max new file src main java edu ucla sspace util triple java yet another tuple objectnew file src main java edu ucla sspace util primitive doublepair java primimite pair match intpairmodified src main java edu ucla sspace util primitive intpair java fix formattingmodified src main java edu ucla sspace util primitive primitivecollections java add ability shuffle int modify src main java edu ucla sspace vector sparsehashdoublevector java extend abstractdoublevectormodified src main java edu ucla sspace vector sparsehashintegervector java fix performance bug magnitude cachedmodified src test java edu ucla sspace common similaritytest java add unit test spearman rhonew file src test java edu ucla sspace graph compactsparsetypededgesettests java new unit testsmodified src test java edu ucla sspace graph sparsetypededgesettests java unit testsnew file src test java edu ucla sspace lsa latentsemanticanalysistest java test project base worked example websitemodified src test java edu ucla sspace matrix arraymatrixtests java add test matrix equalitymodified src test java edu ucla sspace matrix filetransformutil java add test new transform behaviormodified src test java edu ucla sspace matrix rowmaskedmatrixtest java added weird debug try figure go arraymatrix equal new file src test java edu ucla sspace util krippendorffsalphatest java add unit test alpha possible computationsmodified src test java edu ucla sspace util objectcountertest java verify min max new file src test java edu ucla sspace vector abstractdoublevectortest java add test equal,extract
139,extract duplicate error response creation,extract
140,added test functional test use single stage group use unique uuids id avoid test interfere extracted class linearpipelinebuilder stagebuilder,extract
141,refactor topological test sort extract graph result,extract
142,rework bit connection pool internals base feedback waiter add waiter list waiter extract connection acquisition checkpending use getconnection remove set use weight instead set remove boolean holder tolerate incorrect usage connectionlistener remove validity check connection favor pool eviction call httpconnection goaway code use last known stream instead max int value,extract
143,extract system classloader inits preclassloaderinitiator plugins,extract
144,refactor threadlocalcleanup extract warningthreadlocalcleanup subclass,extract
145,extract different part statement,extract
146,extract step new function make possible unit test,extract
147,extract map instantitation visitor class,extract
148,extract loadclass allow override,extract
149,add linkindexupdator update linkindex previously call linkmanager response repository event recordlinkextractor extract link link field still todo blob field still need testcases stumble upon small block issue repository secondary change add queue mock package contain class fake queue operation use indexer linkmgmt test add repo util utility class useful multiple module repository relate contrast util package dependent lily repository also disable indexer root pom xml build run git svn id svn ssh dev outerthought org outerthought lilyproject project lily trunk b f e bd e dc,extract
150,import tool allow inline field declarationsextend json import format allow declare field type embed record type thus longer require declare field type front fieldtypes section inline field type declaration recognize prescence valuetype attribute record type import happen two pass first inline field type declaration extract checked conflict record type import record type import,extract
151,fix headersmoved bit internalreduced log codeextracted replayprefixonecharinputstreamextraced stty detailsextracted shutdown hook detail,extract
152,extract show hide view wavetypes,extract
153,extracted particle creation initrandomparticles tocreaterandomparticles force independent need clean prepare call,extract
154,release core ivory github extract private svn repo,extract
155,revise code bitext extraction process sentence separately balance load among mapper equally also fix,extract
156,bitext extraction code change word trans ratio calculation token sentence instead term vector minor change fix,extract
157,update doc untested change bitext extraction pipeline,extract
158,extract validation exception refactored protected resource registration endpoint use format,extract
159,synthesis subtree extraction first pas,extract
160,major rule datatype overhauli completely rewrote internals rule make easy use withchris dyer dot item extraction scheme also someidea profile think take less space withthe rewrite also hell lot easy understand also change feature function reflect since look atrule internals also make first attempt write extractionlogic,extract
161,reverse support samt extraction,extract
162,extract time record reader without need variable,extract
163,continued refactoring extracted plotconfiguration interface,extract
164,extract trigger conversion separate class,extract
165,text metadata extraction,extract
166,checkpoint work new argument file index file change arenow track unprocessed region collect aspect theindex implement eg extract file contain root file,extract
167,update support cache around extraction sub file rootfiles,extract
168,fix paxwicket refactored httptracker syncronized model base extractedservletdescriptor unify exceptionhandling extractednormalizemountpoint function genericcontext httptracker,extract
169,extract common code,extract
170,merge simplify attribute extraction class definition,extract
171,extract test tomcat setup tomcatbuilder,extract
172,refactor odt textstyling extract pluggable interface style generation,extract
173,abhishek dev move audio file string seperate class extract node construction builder,extract
174,balajin refactoring ivr module extract unit,extract
175,extract code additional function,extract
176,improve population extraction connection extraction draft refactor clean,extract
177,remove unneeded class refactor improve population extraction add download neuroml add domain type work summary,extract
178,simplify extraction proposal include isbasedoninput property proposal set input priority level,extract
179,refactored extract open type converter class,extract
180,add j presponseextractor hook java client deserialization fix,extract
181,refactor edgeextractor also take inedges account,extract
182,extract charsequencebuffer interface charsequencelist allow tagprocessor pass custom charsequencebuffer push new buffer,extract
183,extract amf reader writer provide jackson json provider git svn id http svn codehaus org enunciate trunk enunciate c b b b e,extract
184,minor update extract spring cxf plugingit svn id http svn codehaus org enunciate trunk enunciate c b b b e,extract
185,extract handle logic unknown provider resource class,extract
186,remove statistic used test code replace simple visitor extractthe store value raw data tree adapt test,extract
187,remove ccd test extracted transitiveparentcount test thus reduce test addition removal classdescriptors,extract
188,test case extractchildgoal,extract
189,extract sibling goal test client side rest service,extract
190,merge extract task task model,extract
191,refactor cluster manager code extract common code,extract
192,support retention time calibration call mprcextractraw,extract
193,task start extract improve interpolation feature frommoduleinterpolator,extract
194,test extract productgenerator siteprojectgenerator,extract
195,fix extraction parameter description javadoc comment base parameter name annotation value,extract
196,refactoring extracted common code,extract
197,extract minimizer interface rewrite everything use fmincghardcoded interface,extract
198,generified extraction current view filter type,extract
199,generified extraction view certain index,extract
200,remove compartment activity move executor di tool dctool come new package andrestructure extract base executor class move difference nwversions template instead class,extract
201,add optional parameter source get table cell value keywordwhen source set model text extractor try get text cell component firsts get directly table model source set auto default old strategy use e extractor first try extract text cell component fail get table model,extract
202,refactoring extract tail builder class introduceabstracttaildoublearray class,extract
203,merge nperrier addition extract cover art id tag index collection fix,extract
204,extract parameter directorynamebase,extract
205,extract xslt logic something reusable,extract
206,childrennumbercomparator extract domdifferenceengine,extract
207,added support file selector unarchiver thisallows restrict extract file pr plxcomp,extract
208,rework actual archive creation order avoid multiple iteration random access resource collection performance gain extract tar archive pr plxcomp,extract
209,added support extract json object array request body via helper,extract
210,pinbit machinery extract separate class transition executor property constructor parameter,extract
211,refactored search result extraction code add easy accessor highlight search hit resolve,extract
212,extract version field json responseextract version elasticsearch json response whenusing getsourceasobject getsourceasobjectlist try apply value jestversion annotate field thesource object,extract
213,extract share validation logic,extract
214,extract function default homedir calculation,extract
215,sc qcadoo early detection hook inconsistency extract view hook class hierarchy improve type safety remove unnecessary componentcustomevent class,extract
216,extract client id logic test,extract
217,extract bucketlocker test verify close lock test similar structure setup whichis reason extract,extract
218,extract large end end test functional test,extract
219,extract archivebucketendpoint bucketarchiverrest bucketarchiverrest large henceth extraction begin,extract
220,create listbucketsendpoint extract creation logic,extract
221,refactored listbucketsendpoint use new class listsbucketsfiltered endpoint much less logic since us logic wasextracted bucketthawer,extract
222,extract unecessary dependency java util uri probably big change everrefactored system uri classwas nest deep system noreal reason assume allbackends would uri scheme andthat keep uri time onall bucket case andeverything bucket model thepathresolver refactored change make first placebecause glacier urithat call instead wantto configure backend key valuesinstead uri change system alsomake easy transition intoa key value store since abstractionfor transfer bucket give thisbucket key give youthe key give back bucket,extract
223,extract copy bucket bucketarchiver copying bucket feature exist difference oldbucketarchiver bucketcopier addition copy thelocal bucket archive thearchiver also delete localbucket successful copy,extract
224,extract call search peer listbucketsendpoint,extract
225,extract call search peer listbucketsendpoint,extract
226,process ordering dvd airthis service issue let look episodes show robot chicken refer season episode number information like e placement episode title dvd placement air placement western hay batch e e triple hot dog e e joel hurwitz return e e hopefully salt none e yogurt bag none e user file robot chicken e mp rename rule say add episode title filename title add answer former simply blanket policy prefer dvd order prefer dvd order look dvd placement show simply dvd information every show get release dvd beyond many show robot chicken example show release episode dvd others see robot chicken e mp still prefer dvd order episode e dvd placement one e regular placement use one prefer episode match season episode number dvd order fall back air placement episode meet criteria implement building index previously process iterate know episode dvd placement try add index place dvd placement try use air placementso western hay batch would enter index use dvd placement e since yogurt bag dvd placement would enter e would try add joel hurwitz return index e dvd placement hopefully salt would try add index use air placement e conflict behavior previous release panic log message two conflict episode put neither index note conflict happen two episode preferred placement happen one dvd placement one happen every time dvd placement disagree air placement example western hay batch triple hot dog could map e e preferred placement triple hot dog conflict commit introduces class episodeoptions placement map instance episodeoptions rather single episode iterate every episode show always add placement index dvd air reserve air fallback remember placement episodeoptions class preserve information look episode season say whether prefer dvd order air order always fallback get get order ask episode get one order request order episode application get dvd preference may change future commit already able get non dvd episode test harness go back example ensure deterministic answer e dvd e currently preference also ensure deterministic answer e air e dvd e exist functionality extract hopefully salt e yet expose userthe code would allow episode episode map two different place index also would allow multiple episode placement even order neither thing ever happen code check prepare handle data get provider,extract
227,refactoring relay package extract android projecttests change yet,extract
228,xslt space normalization also bunch refactorings request xslt template go thru factory add flag tag extractor allow function normalize space mode non normalized mode switch back non normalized space change constant template file factory switch normalize flag false th transformer,extract
229,extract wotask handle extra class use separately,extract
230,render id top level think use force ago test extract style render button render style label span rather container,extract
231,flesh predictivemodeloptimizer added integration test currently assert anythingextracted generic interface outoftimedatastill wip,extract
232,extract json instance loader,extract
233,extracted vimtestcase typetext,extract
234,extract executetext,extract
235,extract toescapenotation,extract
236,minor improvement javaruleviolation extraction name suppression status pretty explicit clear major improvement overall compare mess x git svn id http pmd svn sourceforge net svnroot pmd trunk baf c fc e,extract
237,extract rework checkcreateremotesvnpath git svn id http svn apache org repos asf maven plugins trunk f bb ffa edef,extract
238,refactoring extracted icontool deal info warn error icon reportsgit svn id http svn apache org repos asf maven plugins trunk f bb ffa edef,extract
239,move rexpro session monitor rexprorexsterserver java extract start shutdown listener,extract
240,extract test run builder style object,extract
241,add udfs permit store bson pig extract timestamp information objectids hadoop,extract
242,add parse text compliment append text,extract
243,add implementation security role hierarchy remote local security,extract
244,add pow method groupelement class unit test su implement,extract
245,enhance batch handler output error message add test new provider dump docs select query,extract
246,fix jsplitpane slider location sourceeditorview fix editor tab bring front editing file,extract
247,add delete candidate session functionality,extract
