Commit message,Class
run truth subject tests under j cl changes includes having the expectfailure to implement a wrapped interface of testrule to allow gwt swapping add basesubjecttestcase class for subjec tests to extend which setup a expectfailure in before and ensure failure caught in after add a small build rule similar to gentestrules but for j cl tests migrate two subject tests as a start to prove the concept relnotes n a created by moe moe migrated revid ,extract
move components from to core,pull up
arqgra grapheneelement can not be used as root fixed grapheneelement can be now used as field type for page fragment root it required couple of refactorins i had to extract interface from grapheneelement because proxy which is created for it needs that interface in the list of interfaces which it should implement i had to rename the implementation to grapheneelementimpl grapheneelement is wrapped element i had to add to the wrapperenricher conditional code which would take into account the grapheneelement it is ugly bit imo only only solution right now,push down
process both orderings dvd and airthis is in service of issue let s look at a few episodes of the show robot chicken i refer to season and episode number information like s e as a placement episode title dvd placement aired placement western hay batch s e s e triple hot dog s e s e joel hurwitz returns s e s e hopefully salt none s e yogurt in a bag none s e so if a user has a file robot chicken s e mp and the renaming rule says we should add the episode title to the filename which title should we add our answer as of now is it should be the former simply because we have a blanket policy of prefer dvd ordering so if we prefer dvd ordering should we look only at dvd placement no some shows simply don t have any dvd information not every show gets released on dvd but beyond that many shows as the robot chicken example shows have released some episodes on dvd but not others what if we see robot chicken s e mp we still prefer dvd ordering but there is no episode with s e as its dvd placement but there is one with s e as its regular placement so we use that one we prefer an episode that matches the season and episode number in its dvd ordering but we will fall back on the over the air placement if no episode meets the criteria we implement this by building an index previously the process was we iterate over all known episodes if it has a dvd placement we try adding it to the index at that place if it doesn t have dvd placement we try using the over the air placementso western hay batch would be entered into the index using its dvd placement s e since yogurt in a bag doesn t have a dvd placement it would be entered at s e we would try to add joel hurwitz returns to the index at s e it s dvd placement as for hopefully salt we would try to add it to the index using its aired placement s e so there s a conflict the behavior as of the previous release was we d panic log a message about the two conflicting episodes and put neither of them into the index note that such a conflict only happens when two episodes have the same preferred placement which only happens if one of them has a dvd placement and the other one doesn t it does not happen every time that the dvd placement disagrees with the over the air placement for example western hay batch and triple hot dog both could be mapped to s e but s e is not the preferred placement for triple hot dog so there was no conflict this commit introduces a class episodeoptions now a placement is mapped to an instance of episodeoptions rather than just to a single episode now when we iterate over every episode in show we always add both placements to the index dvd and over the air we don t reserve over the air for a fallback any more and we remember which placement is which because the episodeoptions class preserves this information then when we look up an episode in a season we say whether we prefer the dvd ordering or air ordering there is always a fallback when doing a get you will get the ordering you asked for if such an episode is there but will get one from the other ordering if your requested ordering doesn t have an episode as of now in the application we only get with a dvd preference but that may change in a future commit we are already able to get non dvd episodes in the test harness so going back to our example this ensures a deterministic answer for s e it will be the dvd s e because that s currently the preference this also ensures a deterministic answer for s e it will be the air s e because no dvd s e exists we now have functionality to extract hopefully salt as s e it just isn t yet exposed to the userthe code would allow the same episode to be the only episode mapped at two different places in the index it also would allow multiple episodes with the same placement even with the same ordering neither of these things should ever happen but the code doesn t check for it and is prepared to handle it if that s the data we get from the provider,extract
nxp refactor route import tests to have an exploded zip in the sources fix tests,extract
overenthusiastic refactoring united listeners under statelistener interface moved listener management under stagebase class moved shared functionality from monitors to abstractmonitors class replaced interface adapters with default interface implementation added some javadocs refactoring on monitorstartstage,move
major refactoring the jdbc package was in pretty bad shape and was extremely hard to modify some of the changes made to fix this were o refactored the jdbcmigrationcontext so that the source of connections is abstracted a basicdatasource that wraps a connection has been added to support environments without access to a data source o all database specific configuration options are now set on the jdbcmigrationcontext the patch path is set on the migration launcher o fixed the way that database connections were being closed the old way caused pooled datasources to hang o less connection passing every class can obtain its connection from the context o put the concept formerly known as dialect into it s own class databasetype o added support for oracle this turned out to be a pain since the oracle jdbc driver doesn t support multiple statements in a single statement execute call like postgres does o renaming many of the old names didn t make sense i tried to make the changes as backwards compatible as possible but i haven t tested this with an existing application you have been warned this whole thing needs to be repackaged under net sf autopatch at some point,push down
cleanup in graphs removed cross package graph simplified class graph,pull up
moved accessors from tcp tcp nio to basictcp,pull up
jfg add testenvironmentrestcontroller extract all exception handlers to globalcontrollerexceptionhandler refactoring add testenvironment model dao and service add new unit tests disable some checkstyle checks,pull up
added an abstraction layer for connectionless polling acceptors abstractpollingconnectionlessioacceptor datagramacceptor now extends abstractpollingconnectionlessioacceptor git svn id f bb ffa edef ,pull up
added negative test for porperty access from static code re write of functiondeclaraton and functionexpr so that functiondeclaration delegates as much as possible to a child functionexpr fixed this handling in local functions commented out testbind testbindnonexistentmethod this test does not work in flex need to rewrite this somehow as native methods are not allowed in user code note that testbind testnotbound also does not work in flex in flex a method is always bound all other tests green,inline
restructuring of the way moo classes interact felt too tightly coupled needed to split create from update in the translator to make it happen,inline
added foreachjsonschematransform renamed json model methods returning maps added methods returning collections for easier use in freemarker templates git svn id c b a b b d e ,rename
refactoring move xml code to epubprocessor move epub cleaner code to epubcleaner,pull up
loads of uplayer mplayer renames,rename
starting to refactor the fastpath handler make stuff private etc,inline
simplified differ implementations be moving circular reference detection to delegator class and got rid of the abstract base class good riddance,move
bug clean up and expand model validation also begin work on adding support for connections to extension point,inline
rewritten the state cla b b ss so that we can gather the information we need to obtain the correct bit widths implements the same cases as before git svn id d f ee a dfeeeb ,inline
sramp simplified test cleanup non nls x,inline
add subject isinstanceof class and isnotinstanceof class created by moe java moe migrated revid ,extract
added support for file selectors to the unarchiver thisallows to restrict the extracted files pr plxcomp ,extract
refactored samplepatientorder to move stuff out of the heap and added tableidservice,move
rf samples refactor,push down
added channel value to assaynodes for multi channel micro array experiments,extract
added reset to candidate ass service refactoring,inline
introduced configurable categories per assembly default categories are assembled and included,inline
further cleanup of statistics and other visitors removal of a now unused interface removal of some warnings,push down
faces develop portal navbar portal nav and portal navitem components faces develop portal permissionsurl component refactored to use new abstract portaltagrenderer parent class faces develop liferay faces showcase added use cases for portal navbar and portal nav,pull up
refactored the combinefn infrastructure,push down
refactor to introduce the direct client concept,push down
added tests for buildstepoperation,extract
vandana renamed a few methods,rename
pr massembly massembly fixed massembly by introducing a new assembly element which works like a i deleted unused methods parameter and need not deprecate them bec they have not been released yet added some test harness classes for testing the processing of git svn id f bb ffa edef ,push down
add better support for keypath visibility properties convert no details eo s to id pk format instead of pk delegate attempt to load default rest delegate names restentitydelegate to make registration easier put request handler session fixes from ajax s jsonrequesthandler into restrequesthandler added some convenience registration methods to erxrestrequesthandler added some misc javadoc ified moved some generic rendering methods up higher to support generating alternative output formats,pull up
refactored aop code to allow for other aspect frameworks besides aspectj to make use of the code,pull up
simplify a bit asyncfileimpl,inline
move newnumber to confignumber rather than abstractconfigvalue,push down
added convenience methods to abstractverticle and renamed loaderhelper back to servicehelper,rename
fix regression in lifted semigroup sum move lifted definition in monoid,move
tools timing refactor timing tables fix cmp cache miss timing,push down
extracted method buildqueryuri so that future queryexecutor implementations can get the uri object and eventually change it before turning it into a string,extract
sonarjnkns rename enforcegreen abortpipeline,rename
fixes paging numbers padding on empty private group and other minor items,extract
move send receive code from smtpsession to textprotocoltester this moves the protocol independent send receive code from smtpsession test to textprotocoltester reducing some of the duplication this also removes the final quit command and the check for the connection teardown etc because textprotocoltester can t handle that at the moment,move
created lists for persons and scenarios little changes in other pages title imports etc update facade and service for person renamed for scenarios,rename
update translator rename,rename
forgive me god for i have sinned doing more than one changed in a single commit added dependency injection for opmobjectinstancevalueanalyzer and refactored some methods in the analyzer class,push down
added secondary table support for cassandra ds client,extract
some refactoring in multivalue object editor start of iospecification custom property editor simplify,extract
eventframe frameselector bugfix hack refactored lgm loading load paramters fixed bug where frameselector was empty on load or new game t simply destroy and recreate eventframe so it s a hack seems to be caused by selector not being informed of new root node refactored and rearranged lgm startup a bit mdi created in its own method now creation methods now return component for later adding preload method to load files passed in from parameter list t does not attempt to recover on failure consider making listener load more modular so preload can be done via a call through it extracted some duplicate code from listener s load and new methods to lgm reload git svn id f f bc e be cd ,inline
improved give command closes ,push down
cleaned up some code externalised some strings mdimanager moved listening code to inner class clistener to avoid empty interface methods messages properties organised the gamesettingframe strings into tabs gamesettingframe externalised new strings that i forgot about this is part of a part commit git svn id f f bc e be cd ,move
open issue flexmojos move test runner into a separated component ,inline
added reset users action,extract
added an example of configurable fieldpopulators and made it work,extract
remove old matsimsimulation and move the functionality into the plugin,move
clean up version of tokenstreamfactory to be upwards compatible with one,push down
refactor resources with java features fixes ,push down
changed way in which on upgrade works dbopenhelper onupgrade method is now final you will now have to override a new method called onupgradedatabase updated copyright added methods to get the table name and column names sqlhelper class,extract
refactored integration test classes slightly,pull up
move sharedloglogic specific getcheckedoperations from superclass move operation resolving to abstractloglogic,push down
rf controlers refactoring,pull up
rhogen wizard src rhogenwizard rhohub tokenchecker java token dialog was changed to login dialog,inline
further improvements to n i testpart rendering now does testpart feedback xslt tidied up a bit more renamed xslt for testpart feedback updated simple ni example a bit more,rename
moving the block of code in the main method of sesamequeryutils which were eyeball pseudo tests into some actual test cases,move
refactored kind hierarchy,push down
major rewrite of the command line tools with simplified logic less duplicate code and some minor new features allow running of d r server just with a jdbc connection allow running of all tools just with l dump sql dropped m j switches on dump rdf just provide naked file url add verbose and debug switches consistent error reporting introduce systemloader class as central factory facade improved consistency of base uri handling changed initialization logic for d r server,inline
review the view creation for base maodel fxml and simple also manage autorelease for all models,push down
removed resource model classes since it is an antipattern bad for performances each inheritance level generate sql joins update samples apps and identity manager according to that include baptiste and loic improvements for update controller method replace kazan specific password generator by spring security one add an exception mapper for alreadyexistingentityexception use raw types instead of responses in genericcontroller hg enter commit message lines beginning with hg are removed,inline
remove the need for explicit row locks when allocating uids the existing code with explicit row locks exhibited very poor performance and also prevented multiple tsds from allocating uids concurrently the new approach consists in performing an atomic increment to grab a new uid cas ing compareandset the reverse mapping uid name cas ing the forward mapping name uid if we die after step we waste an uid if we die after step we just end up with an orphaned reverse mapping harmless when two tsds race to assign a uid to the same name one of them will fail to cas the forward mapping at step and will retry to find the uid assigned by the winning tsd when that occurs the only net consequence is that a uid will have been wasted by the losing tsd whereas the previous implementation wouldn t waste one when this happened the uid fsck command can easily detect orphaned or wasted uids and we could conceivably put them on some kind of a free list in the future to re allocate them if two tsds are running side by side and one uses the old method while the other uses the new lock less method things still work as expected there are two possible scenarios old tsd goes first locks the maxid row and does its thing the new tsd will have to wait until the row lock is released for its atomic increment to go through the new tsd goes first atomically increments the maxid row and does its thing the second tsd locks the maxid row and proceeds to allocate its own id concurrently,inline
renamed api methods into nicer forms now that we allow full operator overloading,rename
model changes we discussed over the past two days,push down
first refactor of tal support,pull up
extract json instance loader ,extract
rewrite of queryresultparser to fix issue ,inline
rules can now use violation specific values in messages specifically variablename methodname classname packagename minor tweak to javaruleviolation to report a variable name for astvariabledeclarator fields added java optimization ruleset rule redundantfieldinitializer submitted by lucian ciufudean git svn id baf d a c fc e d,extract
fixed merge,inline
massive refactoring to exception handling i m trying to simplify things but they are currently a little bit more complicated i ll do another round shortly the main benefit of this change is that now all of our error handling flows through one class errors java it takes care of managing the current source line managing the current injectionpoint building messages tostrings because of this refactoring we now use almost exactly the same code for both provisionexception and creationexception the consequence of this is that provisionexceptions now include a full error report all of the classes injected fail fast but not too fast now applies to provide time as well as injector create time i also made injectionpoint into a public class in spi it replaces dependency i like this change because dependency is a very abstract name whereas injectionpoint is very guicey guice injects stuff dependencies are a consequence of this but i like the api better exposing the core guice abstractions directly this entire change needs further doc simplification and cleanup todo git svn id guice googlecode com svn trunk d f a b b b d aecad e,inline
arqgra page fragments implementing webelement interface delegate interface invocations to root a page fragment can be declated asbtract when implementing webelement interface then all method invocations on such page fragment will be intercepted and those which are from webelement interface will be delegated to the root of the page fragment locationenricher the creation of the page object was improved now it is using the method from pageobjectenricher to do so support for declaring page fragment as abstract class not added cause it requires more changes in the code,inline
added first draft of multi tap recognizer,extract
clients refactored,pull up
clean devutils makeoptions,inline
more refactoring upversioned to ,pull up
task started to extract and improve interpolation of features frommoduleinterpolator,extract
fixed another regression during refactoring git svn id f bb ffa edef ,pull up
closes ,move
removed support for kerberos authentication made always lax previously called lazy and removed support for explicit lax connections used parameters to merge test classes with different setup into one test class some general code cleanup,push down
fix biome rendering,push down
 add support for android refactored property loading writing to be osgi service based and extensible the actual android support will be supplied by a plugin,pull up
added servicesview extension point to support future support of change id i cbe dfaa a b ab e c f,extract
runtime model enhancements added tags and attachments introduced specelementinfo base class added ispecificationcontext getcurrentfeature and getcurrentspec added specinfo package renamed specinfo isbottomspec istopspec to avoid groovy naming conflict with getbottomspec gettopspec,push down
fixed dependency injection according to this specification the basic idea is that if an object depends upon having an instance of some other object then the needed object is injected into the dependent object for example being passed a database connection as an argument to the constructor instead of creating one internally source oriented design some design principles and strategies,inline
jenkins configurable issue priorityid typeid and actionidonsuccess motivation when jenkins creates a jira ticket the priority and type ids are hardcoded and may break ticket creation as noted in jenkins modifications allow the admin to configure issue priority id and type id from the jenkins job configuration allow the admin to configure actionid on success which allows the plugin to automatically resolve or close tickets result support for jira where the type ids are different and greater flexibility when setting up workflows,extract
do work inside getmovetopath previously fileepisode had two methods a private one called getmovetodirectory which composed a string from the user specified destination directory replacement template and the information we ve found about the file and a public one caleld getmovetopath which basically called getmovetodirectory and turned the result into a path this made some sense since we work with strings a lot all the various components are strings and we need a string to put into the resultstable still the point ultimately is to move the file so the actual path is pretty important plus using path resolve seems better than concatenating strings with file separator string we still need the strings but switch it around create the path object and use tostring to get the string version,inline
add unit test and refactor pushcommand,extract
split resolvesource from substitutionresolver and configsubstitution this is part of a plan to remove substitutionresolver moving the memoized hash to resolvecontext and to move the replacements functionality to resolvesource should be clearer,move
 wip integration tests moved to separate module with junit ,move
large documents no longer causes exceptions in mongodocumentio s cleanup adds a new test file for mongodocumentio which does not require a live mongodb instance,extract
adding colour coding to grammar line,extract
removing internalcall to reduce internal stack usage a little bit,inline
renamed sessionhash sessiontoken,rename
added model visualization after deserialization,extract
hh don t change grizzly default iostrategy,inline
add parameters when calling pay on an invoice,extract
faces prepare for osgi by moving impl classes to internal sub packages in order to clearly distinguish api from implementation reduce api in inputdatetime components by removing methods and making methods final,inline
refactor basiccfindscp,pull up
extractormultipleregex javarefactor for readability,extract
refactoring move methods that are not directly related to announcements to a utility class git svn id f bb ffa edef ,move
a bit of work on the symbol table class names are now recorded in the globalscope come to think of it they should probably be recorded in sourcefilescope or some such interim layer instead to allow for private inner classes at any rate that s where they are for now i also pushed some stuff down from abstractscope into localscope where it seemed to fit better removed a useless unit test added some good ones generally making progress towards fixing the unused private field false positive when inner class private field is referenced from enclosing class git svn id baf d a c fc e d,push down
 refactor marker resolutions and quick fixes change id ibdcc cf cfbb fd c ba ce cfb c cb signed off by anton tanasenko,pull up
change id i df a dffe a b bd ffc ,push down
renamed async vertx static factory method to vertxasync and provided tests,rename
rf add unique copyable enforcements some clean up in fieldtype hierarchy,pull up
rename requestcontext getrequestedpath to getrequestpath,rename
warning eliminations hazard model generations removing aml,pull up
use abstract class interface for anytypedeclaration hierarchy remove one breaking api change,push down
open issue flexmojos move test runner into a separated component ,pull up
removing disabling old rowlog code the rowlog related packages have been removed completely global rowlog tools rowlog visualizer and the kauri rowlog module all references in pom s to the rowlog have been removed if you grep the code there s still quite some rowlog traces left tests which relied on indexing happening or that test the linkindex have been commented out compeletly they would not run anyway and there s little advantage to making them compile with the references to the rowlog left in place it will be easier to migrate them to the new solution same holds for the rowlogmessagelistener s the indexupdater the linkindexupdater things that need adjustment when the new rowlog solution is in place are marked with fixme rowlog refactoring,inline
setting clearing enctype in invokeaction in addition to appendtoresponse form s appendtoresponse will not fire in case we add erxwofileupload via update container inside form,extract
arqgra renamed sizzlejspageextension to jquerypageextension,rename
resolveentityreference made private and moved from webutilsservice to treenodeservice,move
minor refactor git svn id f bb ffa edef ,pull up
add mdr not written out as it breaks send to device probably needs some or all of the associated x sections git svn id d f ee a dfeeeb ,extract
move server configuration to server,push down
renamed vdiff to fvdm,rename
get rid of redundant private randomvectors method and rename it in vectors class,rename
wcet new improved implementation of callgraph works fine with receiver type analysis now cleanup and docs for frontend package,pull up
mrelease refactor to use a generated release descriptor instead of the release configuration class submitted by jeremy whitlock git svn id f bb ffa edef ,pull up
move simpleservlets to webapp web directory,pull up
balajin not using updatescope in the contract between patientwebservice and patientservice moving treatmentcategories to refdata removing patient as a dependency in validation and mapping,move
move the custom utf decoder into a subclass of encoding add support to the utf decoder for unicode code points above u ffff represented as a surrogate pair in java these values can be generatedby the backend from the reverse path is already handled by the jvm s ownutf encoder add a number of unicode encode decode tests to make sure it s all working,push down
ui tests refactoring,pull up
jcbc adding support for spatial view queries this changeset adds the capabilities to query spatial views queries work with and without documents but not for reduce queries the tests have been refactored out to a new file for better encapsulation change id i e f c e d f d f c a reviewed on reviewed by volker mische reviewed by michael wiederhold tested by michael nitschinger,pull up
logtool initial work for supporting the new param annotation with some major refactoring,push down
gui tests refactoring multipagechest support,pull up
refactor cache a bit,pull up
enhanced sslcontextbuilder added privatekeystrategy interface to enable customization of private key selection more ssl test cases git svn id f bb ffa edef ,inline
added check for logged user added behavior for storing data during tab change for repeatable fields and autocompletable fields weather and temperature fields must be enhanced as well,extract
enunciate renamed json specific overloads of enunciatefreemarkermodel add to avoid accidental calls to add typedefinition add jsontypedefinition addjsontype add jsonrootelementdeclaration addjsonrootelement git svn id c b a b b d e ,rename
refactor basiccstorescp,inline
rewrite plugin creation code,inline
rename varables correct return value of getter in graphrep,rename
hv moved collection of failing constraints to constrainttree,move
add filesystem support to libvirt functionality allow mapping of kvm host filesystem into the guest domain refactor various libvirt xml functions,move
cleaned up examples added comments and javadoc added some examples,extract
massive refactoring to separate unit tests from integration tests,pull up
added connectors removed edgeroles,pull up
sc qcadoomes refactored production scheduling and some other fixes,push down
renamed exporting classes ,rename
updated concepts version to also moved functionality related to concepts version in dictionary class,move
nxp cleanup rights on public private social workspace cleanup unit tests,pull up
chunk change logic is now good enough moving it to the mainlistener,move
 refactored cpu test suite,inline
created first version of linkedhashbimap not tested yet,push down
more work on database bug fixes,push down
pulled makeremoterequest up,pull up
jfg session scope plots have been added to the webui with follow features tests are sorted by startime pause between end of previous test and next test also considered,extract
ellipsoid rename constrict to contract,rename
use apache tika for all default text extractions cleaned up error handing append correct extenstions,inline
roi added group field basically to allow grouping roi for specific operation added getlength sequence method to compute length perimeter with sequence pixel size information added geteffectivedimension dimension method added unselectallpoints method moved some methods to roiutil much more interaction with d vtk display can now move and modify roi directly through d view roi d added support for z dragging operation some cleanup and tweaks roi dshape many changes to add interaction with vtk rendering safer vtk rendering roi dpoint better vtk rendering roi darea safer vtk rendering fixed a small issue where vtk display wasn t correctly updated on drag operation other minor tweaks and improvements roi d added roi dpainter class for easier display and interaction for d roi added isoveredge method added roi dshape abstract class for d shape roi added roi dpoint d point type roi added roi dline d line type roi added roi dpolyline d polyline type roi added roi dstackshape abstract class for d stack shape roi added roi dstackellipse ellipse d stack type roi available from stacking operation added roi dstackpolygon polygon d stack type roi available from stacking operation roi dstack fixed setname methods so children get modified as well deprecated getusechildcolor setusechildcolor methods roi darea safer optimized vtk rendering added roi darea booleanmask d zmin zmax constructor added isoveredge method roiutil moved methods from roi getunion getintersection added converttostack method to convert d roi to d stack roi added converttomask method to convert shape roi to area roi added converttoshape method to convert area roi to polygon roi added getconnectedcomponents to separate and retrieve connected components from an input roi added copyroiproperties to copy properties from an input roi roi action added convert to stack operation to convert d roi to d stack roi added convert to mask operation to convert shape roi to area roi added convert to shape operation to convert area roi to polygon roi added separate objects operation to separate connected component from area roi added manual cut operation to manually cut separate roi not yet implemented added automatic split operation to automatically split roi given their shape not yet implemented roi panel can now modify position size of multiple roi at same time removed copy paste roi link operation gui added a new tooltip to explain where is the main menu added java warning for osx users first menu task is now dedicated to roi operation only removed image open save actions re organized roi creation actions added many roi operation actions anchor d added integer z position information for d position of d roi added vtk display and interaction support allow roi d manipulation with vtk pathanchor d fixed visibility for closing point booleanmask d added getconnectedcontourpoints method to retrieve contour in connected order minor change to make it safer icycanvas added canvastoimagelogdeltaz method this is the z equivalent to canvastoimagelogdeltay canvastoimagelogdeltax methods icycanvas d improved setmousepos method to be safier icycanvas d added methods to handle mouse image position canvas d reversed panning direction from keypad keys vtkcanvas added getworldz point method to retrieve z depth for a given d canvas position added worldtodisplay point d method to convert a d world point to canvas d position added displaytoworld point method to convert a d canvas position to a world d point implemented imagetocanvas and canvastoimage from previous added methods implemented getscalex y methods implemented setmouseimageposx y z methods mouse event now provide a correct mouse position removed the enable picking on mouse move switch vtkutil simplified getsurfacefromimage method icyvtkpanel added proper event consuming systemutil added getjavaversionasnumber method icyexceptionhandler added anti spam protection for report method fileutil added getfiles method to easily retrieve file with a specific extension without using a filefilter xmlutil added filtering to avoid incorrect character in name attribute fields icycommandbutton added setpopup method to enable popup action tooltipframe added support to open external browser when clicking on url roiperimeterdescriptor modified to use the new roi getlength method,move
minor tweaks following review extraction of methods plus throwing upon unexpected data when mapping genres,extract
renamed a poorly named method,rename
changenamespace renameresources moved renameresources method to renameresources and try to prevent concurrentmodificationexception in tdb,move
idea load only those libs which placed under lib directly jdk moved to the start of class path update versions and ,inline
add basic configuration validation ui,extract
